batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Badoni,death,514,313,164.21725239616615,161.347158337881,50501.660559756754,2025
A Kamboj,death,23,23,100.0,150.75392860386953,3467.3403578889993,2026
A Manohar,death,148,94,157.4468085106383,156.97009147281508,14755.188598444618,2025
A Nortje,death,49,50,98.0,144.75247524752473,7237.623762376236,2026
A Raghuvanshi,death,78,53,147.16981132075472,154.694985627595,8198.834238262536,2026
AD Russell,death,1417,724,195.71823204419888,187.44761309645654,135712.07188183453,2025
AK Markram,death,236,134,176.11940298507463,164.63330223599866,22060.86249962382,2025
AR Patel,death,957,623,153.6115569823435,154.35740395555447,96164.66266431044,2025
Abdul Samad,death,501,297,168.68686868686868,163.9519439748853,48693.727360540935,2026
Abhishek Sharma,death,176,110,160.0,157.91592273981496,17370.751501379644,2025
Abishek Porel,death,57,32,178.125,159.75487416583067,5112.1559733065815,2025
Aniket Verma,death,118,59,200.0,166.7888048647384,9840.539487019567,2026
Arshad Khan,death,80,54,148.14814814814815,154.87693347648016,8363.354407729928,2025
Arshdeep Singh,death,27,43,62.7906976744186,139.7662035111074,6009.946750977618,2025
Ashutosh Sharma,death,265,143,185.3146853146853,168.82945691018804,24142.61233815689,2025
Avesh Khan,death,50,33,151.5151515151515,155.98401945457704,5147.472642001042,2025
B Kumar,death,286,302,94.70198675496688,119.04297069545989,35950.977150028884,2025
B Sai Sudharsan,death,227,112,202.67857142857144,173.4995323636598,19431.947624729895,2025
C Bosch,death,45,27,166.66666666666669,157.94755151190793,4264.583890821514,2025
CV Varun,death,26,45,57.77777777777777,138.18481848184817,6218.316831683168,2026
D Brevis,death,50,20,250.0,165.4156113285747,3308.3122265714937,2025
D Padikkal,death,138,96,143.75,152.45483311217717,14635.663978769007,2025
DA Miller,death,1372,800,171.5,168.6073934026568,134885.91472212545,2025
DJ Hooda,death,451,315,143.17460317460316,148.36148320714423,46733.867210250435,2025
DL Chahar,death,62,50,124.0,150.05859769650434,7502.9298848252165,2025
DP Conway,death,96,62,154.83870967741936,156.28154255114225,9689.455638170819,2025
Dhruv Jurel,death,410,229,179.03930131004367,168.78385951802727,38651.503829628244,2025
F du Plessis,death,567,314,180.5732484076433,171.44274348849422,53833.021455387185,2025
G Coetzee,death,22,23,95.65217391304348,150.29521300753927,3456.7898991734032,2025
GJ Maxwell,death,603,338,178.4023668639053,170.47721657719242,57621.29920309104,2025
H Klaasen,death,574,291,197.25085910652922,180.99661818033655,52670.01589047794,2026
HH Pandya,death,1436,838,171.36038186157518,168.6005386598679,141287.2513969693,2026
HV Patel,death,203,155,130.96774193548387,145.32673267326732,22525.643564356433,2026
Harpreet Brar,death,204,149,136.91275167785236,148.1521989408243,22074.677642182818,2025
Harshit Rana,death,30,34,88.23529411764706,146.5692420770461,4983.354230619568,2025
Ishan Kishan,death,360,189,190.47619047619045,173.34467821782178,32762.144183168315,2026
J Overton,death,38,24,158.33333333333331,156.9148695691487,3765.956869659569,2026
JC Archer,death,204,132,154.54545454545453,155.8543010264329,20572.767735489142,2025
JC Buttler,death,720,371,194.0700808625337,181.2091103103243,67228.57992513031,2026
JD Unadkat,death,178,141,126.24113475177306,143.94153701084394,20295.756718528995,2026
JJ Bumrah,death,63,73,86.3013698630137,137.55356878971477,10041.410521649179,2025
JM Sharma,death,423,219,193.15068493150685,176.00086095566076,38544.188549289705,2025
K Rabada,death,161,135,119.25925925925927,141.40714071407137,19089.963996399634,2025
KA Jamieson,death,53,38,139.4736842105263,153.92427654782642,5849.122508817404,2025
KH Pandya,death,702,447,157.04697986577182,156.95382622374385,70158.3603220135,2025
KL Rahul,death,838,472,177.54237288135593,171.46080425133965,80929.49960663232,2025
KV Sharma,death,248,181,137.01657458563537,147.24562881820097,26651.458816094375,2025
Kuldeep Yadav,death,181,196,92.3469387755102,124.46126965637738,24394.408852649965,2025
LH Ferguson,death,68,46,147.82608695652172,155.0388233844131,7131.785875683002,2025
LS Livingstone,death,333,151,220.5298013245033,184.57906484290046,27871.43879127797,2025
M Jansen,death,117,107,109.34579439252336,139.94820011802503,14974.457412628679,2026
M Shahrukh Khan,death,395,237,166.66666666666669,162.18601026769343,38438.08443344334,2026
M Theekshana,death,15,22,68.18181818181817,147.76201122416387,3250.764246931605,2025
MA Agarwal,death,252,122,206.55737704918033,175.91279632695128,21461.361151888057,2025
MA Starc,death,74,84,88.09523809523809,136.07296213492316,11430.128819333546,2025
MJ Santner,death,68,50,136.0,152.50757728834105,7625.378864417053,2025
MK Pandey,death,703,466,150.85836909871244,152.59358008418087,71108.60831922828,2025
MM Ali,death,277,156,177.56410256410254,165.99531748046599,25895.269526952692,2025
MM Sharma,death,89,89,100.0,138.95900153395618,12367.3511365221,2025
MP Stoinis,death,851,480,177.29166666666666,171.35460212687934,82250.20902090208,2025
MR Marsh,death,208,135,154.07407407407408,155.64956495649565,21012.691269126914,2025
MS Dhoni,death,3442,1965,175.16539440203562,173.50201686835348,340931.4631463146,2025
Mohammed Shami,death,70,77,90.9090909090909,138.10425160163072,10634.027373325565,2026
Mohammed Siraj,death,112,121,92.56198347107438,132.16568492292268,15992.047875673645,2025
Mohsin Khan,death,24,22,109.09090909090908,151.90947666195189,3342.0084865629415,2026
Mustafizur Rahman,death,13,24,54.166666666666664,145.4993444549934,3491.9842669198415,2025
N Pooran,death,833,476,175.0,169.69352672972212,80774.11872334772,2025
N Rana,death,420,233,180.25751072961373,169.54288886832606,39503.49310631997,2025
N Wadhera,death,133,76,175.0,161.86109385846333,12301.443133243214,2025
Naman Dhir,death,252,123,204.8780487804878,175.35961143284138,21569.23220623949,2026
Nithish Kumar Reddy,death,118,66,178.78787878787878,162.31554189901746,10712.825765335152,2026
Noor Ahmad,death,19,32,59.375,143.01478606010377,4576.473153923321,2025
P Simran Singh,death,78,43,181.3953488372093,161.1947749396788,6931.375322406188,2025
PHKD Mendis,death,25,24,104.16666666666667,150.97879650978794,3623.491116234911,2025
PJ Cummins,death,446,269,165.7992565055762,161.99214749061113,43575.887674974394,2025
PVD Chameera,death,52,41,126.82926829268293,151.5438832018795,6213.29921127706,2025
PWH de Silva,death,56,53,105.66037735849056,145.82401788565952,7728.672947939955,2025
Q de Kock,death,210,103,203.88349514563106,173.03475313974351,17822.57957339358,2025
R Ashwin,death,475,355,133.80281690140845,141.93519351935194,50386.99369936994,2025
R Parag,death,556,343,162.0991253644315,160.15679634877986,54933.7811476315,2025
R Powell,death,234,121,193.38842975206612,170.77327985963151,20663.566863015414,2025
R Shepherd,death,155,66,234.84848484848487,176.49178710974545,11648.457949243199,2025
R Tewatia,death,802,480,167.08333333333334,164.09534286762008,78765.76457645763,2026
RA Jadeja,death,1802,1195,150.7949790794979,151.62903340693782,181196.6949212907,2025
RD Gaikwad,death,259,150,172.66666666666666,163.66480126273495,24549.720189410244,2025
RG Sharma,death,1511,837,180.52568697729987,176.0313531353135,147338.2425742574,2025
RK Singh,death,620,333,186.18618618618618,175.3112811281128,58378.65661566156,2026
RM Patidar,death,125,67,186.56716417910448,164.3677726551281,11012.640767893583,2025
RR Pant,death,989,492,201.01626016260164,188.44884488448844,92716.8316831683,2025
Ramandeep Singh,death,125,65,192.30769230769232,165.63214013709063,10766.089108910892,2026
Rashid Khan,death,494,297,166.32996632996634,162.529179747243,48271.16638493117,2026
Ravi Bishnoi,death,36,48,75.0,140.59405940594058,6748.514851485148,2025
S Dube,death,621,372,166.93548387096774,163.4292000628634,60795.66242338518,2025
SA Yadav,death,809,451,179.3791574279379,172.54544339882904,77817.9949728719,2025
SB Dubey,death,90,46,195.65217391304347,164.1674540898073,7551.702888131136,2025
SE Rutherford,death,196,128,153.125,155.30760506391195,19879.37344818073,2025
SM Curran,death,450,248,181.4516129032258,170.57416802628342,42302.393670518286,2025
SN Thakur,death,219,151,145.03311258278146,151.63108796428776,22896.29428260745,2025
SO Hetmyer,death,933,534,174.7191011235955,169.90995395835878,90731.91541376359,2025
SS Iyer,death,668,370,180.54054054054055,172.32629457636028,63760.7289932533,2025
Sameer Rizvi,death,86,38,226.3157894736842,168.0873666765818,6387.319933710109,2026
Sandeep Sharma,death,47,59,79.66101694915254,138.83604895922662,8191.326888594371,2025
Shahbaz Ahmed,death,278,194,143.29896907216494,150.0369060042251,29107.15976481967,2026
Shashank Singh,death,424,219,193.60730593607306,176.2424068493806,38597.087100014345,2025
Shubman Gill,death,436,277,157.40072202166064,157.12787380432957,43524.42104379929,2025
T Stubbs,death,442,205,215.609756097561,186.9108910891089,38316.732673267325,2026
TA Boult,death,78,74,105.40540540540539,142.61842541131435,10553.763480437261,2025
TH David,death,665,350,190.0,178.09973657916248,62334.90780270687,2025
TU Deshpande,death,28,22,127.27272727272727,153.75279463430212,3382.5614819546468,2025
Tilak Varma,death,404,222,181.981981981982,170.1783127953083,37779.58544055844,2026
V Kohli,death,1520,807,188.35192069392812,182.19995652259834,147035.36491373685,2026
V Nigam,death,69,38,181.57894736842107,160.791229337526,6110.066714825988,2025
V Shankar,death,510,308,165.58441558441558,162.15577820207469,49943.97968623901,2025
VR Iyer,death,144,90,160.0,157.7696717040125,14199.270453361125,2025
Washington Sundar,death,292,204,143.13725490196077,149.78535447529714,30556.212312960615,2026
YBK Jaiswal,death,88,42,209.52380952380955,166.09433095208252,6975.961899987466,2025
