batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Ashish Reddy,death,214,146,146.57534246575344,152.55214460090357,22272.61311173192,2016
A Badoni,death,538,326,165.03067484662577,162.03508888466052,52823.43897639933,2026
A Choudhary,death,25,20,125.0,154.0478200414331,3080.9564008286625,2017
A Kamboj,death,55,42,130.95238095238096,152.40625024855748,6401.062510439414,2026
A Kumble,death,34,42,80.95238095238095,143.54549075488657,6028.910611705236,2010
A Manohar,death,148,94,157.4468085106383,157.1636031450108,14773.378695631014,2025
A Mishra,death,259,248,104.43548387096774,127.58528512168877,31641.150710178816,2023
A Nehra,death,39,60,65.0,135.37365219179654,8122.419131507792,2016
A Nortje,death,49,50,98.0,144.9807400363597,7249.037001817985,2026
A Raghuvanshi,death,78,53,147.16981132075472,154.92048914882307,8210.785924887623,2026
A Symonds,death,292,182,160.43956043956044,158.67448623052553,28878.756493955647,2011
AA Bilakhia,death,36,33,109.09090909090908,150.08895310924612,4952.935452605122,2010
AA Jhunjhunwala,death,69,50,138.0,153.1440053424821,7657.200267124105,2012
AB Agarkar,death,123,91,135.16483516483518,150.07091366751092,13656.453143743494,2013
AB Dinda,death,20,40,50.0,138.80970769748134,5552.388307899254,2017
AB McDonald,death,80,65,123.07692307692308,148.53954349580044,9655.07032722703,2013
AB de Villiers,death,1837,829,221.59227985524728,209.2971497157306,173507.33711434065,2021
AC Gilchrist,death,63,32,196.875,162.64441105245868,5204.621153678678,2013
AC Voges,death,85,56,151.78571428571428,155.85769445780127,8728.030889636872,2010
AD Mascarenhas,death,49,40,122.50000000000001,151.15013322939626,6046.00532917585,2013
AD Mathews,death,423,274,154.3795620437956,155.4803439422348,42601.61424017234,2017
AD Nath,death,22,25,88.0,149.18309685867325,3729.5774214668313,2019
AD Russell,death,1417,724,195.71823204419888,187.50846714788696,135756.13021507015,2025
AF Milne,death,17,20,85.0,150.32688980887497,3006.5377961774993,2021
AJ Finch,death,282,178,158.42696629213484,157.6951241525687,28069.732099157227,2018
AJ Tye,death,70,59,118.64406779661016,148.11134373585875,8738.569280415666,2019
AK Markram,death,272,149,182.5503355704698,168.08221310729107,25044.24975298637,2026
AL Menaria,death,91,78,116.66666666666667,145.49553593006635,11348.651802545175,2013
AM Nayar,death,307,195,157.43589743589743,157.23149053566186,30660.140654454062,2013
AM Rahane,death,508,321,158.25545171339564,157.79124284672116,50650.988953797496,2023
AN Ahmed,death,36,26,138.46153846153845,154.84290185026296,4025.915448106837,2015
AP Dole,death,33,20,165.0,157.76875027399123,3155.3750054798247,2010
AP Tare,death,40,26,153.84615384615387,156.6528566013942,4072.9742716362493,2014
AR Patel,death,961,629,152.78219395866455,153.78674916129626,96731.86522245535,2026
AS Joseph,death,24,29,82.75862068965517,147.41197012905408,4274.947133742568,2023
AS Rajpoot,death,25,36,69.44444444444444,143.3778411641044,5161.602281907759,2020
AS Raut,death,120,103,116.50485436893203,143.02107821781246,14731.171056434683,2011
AS Roy,death,48,29,165.51724137931035,158.1262558433398,4585.661419456855,2026
AS Yadav,death,39,29,134.48275862068965,154.10839870048267,4469.143562313997,2008
AT Carey,death,32,29,110.34482758620689,150.98339870048267,4378.518562313997,2020
AT Rayudu,death,1170,692,169.07514450867052,166.42647272706665,115167.11912713012,2023
Abdul Samad,death,512,305,167.86885245901638,163.64056261781624,49910.37159843396,2026
Abhishek Sharma,death,196,127,154.3307086614173,155.9636065494041,19807.37803177432,2026
Abishek Porel,death,61,35,174.28571428571428,159.6533969952527,5587.868894833845,2026
Aman Hakim Khan,death,59,41,143.90243902439025,154.7469546987632,6344.625142649292,2023
Aniket Verma,death,143,77,185.71428571428572,165.1480930474563,12716.403164654137,2026
Ankit Sharma,death,48,34,141.1764705882353,154.673717506149,5258.9063952090655,2017
Anuj Rawat,death,142,81,175.30864197530863,162.39232358300043,13153.778210223036,2024
Anureet Singh,death,32,38,84.21052631578947,145.1514219266443,5515.754033212484,2018
Arshad Khan,death,80,54,148.14814814814815,155.10153136107678,8375.482693498147,2025
