bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Kamboj,death,233,131,17,10.67175572519084,7.705882352941177,9.940136605805053,119.20359316873137,2026
A Nortje,death,723,440,29,9.85909090909091,15.172413793103448,9.733046509436925,354.2672889374161,2026
A Zampa,death,165,89,13,11.123595505617978,6.846153846153846,9.97353708976214,69.47384802040428,2025
AD Russell,death,1034,586,59,10.58703071672355,9.932203389830509,10.302797097941674,1385.2645902200018,2025
AF Milne,death,107,65,5,9.876923076923077,13.0,9.555709744201721,10.72657110186877,2026
AM Ghazanfar,death,73,35,4,12.514285714285716,8.75,9.915150145619338,6.616137833170693,2026
AR Patel,death,550,382,23,8.638743455497382,16.608695652173914,8.912451531182752,243.35616215263386,2026
AS Roy,death,52,35,3,8.914285714285715,11.666666666666666,9.367324058662815,3.939225307986993,2026
Akash Deep,death,110,44,2,15.0,22.0,10.470646583650408,1.5662834065670874,2025
Akash Madhwal,death,223,136,11,9.838235294117647,12.363636363636363,9.608714602696216,51.63021491561356,2025
Arshad Khan,death,172,82,7,12.585365853658537,11.714285714285714,10.377200481922193,19.359749322563612,2026
Arshdeep Singh,death,1074,676,59,9.532544378698224,11.457627118644067,9.51375951032428,1500.1535391463276,2026
Ashok Sharma,death,89,48,5,11.125,9.6,9.779771742767274,10.480817210872521,2026
Ashwani Kumar,death,104,45,5,13.866666666666665,9.0,10.277018889551863,9.973709409467629,2026
Avesh Khan,death,1028,652,51,9.460122699386503,12.784313725490197,9.457478788066645,1127.5838137174421,2026
Azmatullah Omarzai,death,117,66,4,10.636363636363637,16.5,9.748982886944244,6.728907082999495,2026
B Kumar,death,2428,1593,128,9.145009416195856,12.4453125,9.178123340879445,7318.968977111542,2026
Brijesh Sharma,death,134,89,8,9.03370786516854,11.125,9.318607512297351,28.158713590385943,2026
C Bosch,death,82,49,5,10.040816326530614,9.8,9.567559563493637,10.71328579872166,2026
C Green,death,216,109,6,11.889908256880734,18.166666666666668,10.323962281225157,14.296836425722017,2026
CV Varun,death,478,328,22,8.74390243902439,14.909090909090908,9.00666258793967,220.3257844539665,2026
DL Chahar,death,328,205,17,9.600000000000001,12.058823529411764,9.52621133373112,124.38313181279295,2026
DS Rathi,death,143,84,5,10.214285714285714,16.8,9.679156034023109,10.58976626058132,2026
E Malinga,death,256,156,16,9.846153846153847,9.75,9.625312061232044,109.04581517179929,2026
