bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Ashish Reddy,death,164,101,11,9.742574257425744,9.181818181818182,9.539587748688353,52.00434369590146,2015
A Choudhary,death,37,24,1,9.25,24.0,9.414237322428093,0.4355105846155299,2017
A Flintoff,death,59,24,1,14.75,24.0,10.01697704845549,0.4093051207132571,2009
A Kamboj,death,158,103,14,9.20388349514563,7.357142857142857,9.354758300710579,85.90280733805375,2026
A Kumble,death,207,167,18,7.437125748502993,9.277777777777779,8.513033076275558,156.04309158647993,2010
A Mishra,death,800,521,45,9.213051823416507,11.577777777777778,9.273349125156079,895.3076054774613,2023
A Mithun,death,148,78,5,11.384615384615383,15.6,9.991640928980775,10.258575215878558,2013
A Nehra,death,762,527,62,8.675521821631879,8.5,8.880495808326527,1774.7207295816456,2017
A Nortje,death,723,440,29,9.85909090909091,15.172413793103448,9.728689722223232,354.4259400239181,2026
A Singh,death,271,161,17,10.099378881987578,9.470588235294118,9.735162847224023,121.71342365760974,2012
A Symonds,death,145,83,6,10.481927710843372,13.833333333333334,9.747186955437956,15.14283050841186,2010
A Zampa,death,165,89,13,11.123595505617978,6.846153846153846,9.963795681731522,69.54177124189953,2025
AB Agarkar,death,302,182,9,9.956043956043956,20.22222222222222,9.686254571914462,34.28569810284898,2013
AB Dinda,death,739,412,34,10.762135922330097,12.117647058823529,10.335614454055605,458.56973681329816,2017
AB McDonald,death,51,30,4,10.2,7.5,9.536524327163344,6.8788164062192285,2012
AC Thomas,death,185,111,5,10.0,22.2,9.63960122095344,10.633219948683921,2012
AD Mascarenhas,death,41,26,2,9.461538461538462,13.0,9.437637889645938,1.7377229548076314,2012
AD Mathews,death,225,155,10,8.70967741935484,15.5,9.113479924605006,44.98830341339344,2017
AD Russell,death,1034,586,59,10.58703071672355,9.932203389830509,10.299254767748723,1385.7410387295124,2025
AF Milne,death,90,57,5,9.473684210526315,11.4,9.443325292110128,10.854227385944066,2022
AG Murtaza,death,49,24,0,12.25,999.0,9.743004445715764,0.0,2011
AJ Tye,death,442,288,27,9.208333333333334,10.666666666666666,9.299623133771744,321.4001209517574,2022
AM Ghazanfar,death,62,29,3,12.827586206896552,9.666666666666666,9.873740953623894,3.7371853457890074,2026
AM Salvi,death,45,30,2,9.0,15.0,9.376524327163343,1.7490489468992239,2011
AN Ahmed,death,147,92,9,9.58695652173913,10.222222222222221,9.483337887148963,35.01931534571119,2015
AR Patel,death,545,376,23,8.696808510638299,16.347826086956523,8.948717992314803,242.36991285932356,2026
AS Joseph,death,204,128,13,9.5625,9.846153846153847,9.485194964742266,73.050686103512,2024
AS Rajpoot,death,186,102,9,10.941176470588236,11.333333333333334,9.95191236906314,33.37047068786273,2020
AS Roy,death,38,29,3,7.862068965517241,9.666666666666666,9.230883810766752,3.997450380315744,2026
Akash Deep,death,110,44,2,15.0,22.0,10.459071019296035,1.56801688885595,2025
Akash Madhwal,death,223,136,11,9.838235294117647,12.363636363636363,9.600356415745475,51.67516480808462,2025
Anand Rajan,death,77,41,7,11.268292682926829,5.857142857142857,9.753042261066748,20.598700858907833,2013
Ankit Sharma,death,46,25,0,11.040000000000001,999.0,9.61689988005342,0.0,2016
Anureet Singh,death,235,130,10,10.846153846153847,13.0,9.9991322264977,41.00355818012887,2015
Arshad Khan,death,172,82,7,12.585365853658537,11.714285714285714,10.367212901125459,19.378400146310337,2026
Arshdeep Singh,death,1021,652,58,9.395705521472392,11.241379310344827,9.404625706743508,1466.5549092623935,2026
Ashok Sharma,death,89,48,5,11.125,9.6,9.768386722682108,10.49303256616529,2026
Ashwani Kumar,death,104,45,5,13.866666666666665,9.0,10.265491556715633,9.984909094094476,2026
Avesh Khan,death,1028,652,51,9.460122699386503,12.784313725490197,9.454212483603014,1127.973378903358,2026
Azhar Mahmood,death,324,207,18,9.391304347826088,11.5,9.412233765203364,141.13546615374548,2015
Azmatullah Omarzai,death,96,48,3,12.0,16.0,9.941226228854948,3.7118157408887593,2025
B Akhil,death,91,50,2,10.92,25.0,9.737624382088786,1.6841890133045045,2011
B Kumar,death,2352,1551,126,9.098646034816248,12.30952380952381,9.136150042160224,7124.620294065268,2026
B Laughlin,death,133,71,5,11.23943661971831,14.2,9.916232983502828,10.33658650119702,2018
B Lee,death,435,311,14,8.392282958199356,22.214285714285715,8.793909038758402,91.38143190453775,2013
BA Bhatt,death,94,63,2,8.952380952380953,31.5,9.316736331828498,1.7602730630009515,2012
BA Stokes,death,329,204,16,9.676470588235293,12.75,9.558190410054516,109.8115809553132,2020
BAW Mendis,death,78,54,3,8.666666666666666,18.0,9.267943669123502,3.981465718542692,2013
BB Sran,death,128,87,7,8.827586206896552,12.428571428571429,9.247226856779264,21.725432187566323,2018
BCJ Cutting,death,145,76,3,11.447368421052632,25.333333333333332,9.998959312220489,3.6903840537586445,2018
BE Hendricks,death,78,54,8,8.666666666666666,6.75,9.267943669123502,28.31264510963692,2015
BW Hilfenhaus,death,176,96,7,11.0,13.714285714285714,9.950920871518049,20.189086275926943,2014
Basil Thampi,death,329,173,16,11.410404624277456,10.8125,10.363364058727587,101.27985411417359,2022
Bipul Sharma,death,84,34,1,14.823529411764707,34.0,10.23457630398145,0.4006028074073784,2017
Brijesh Sharma,death,108,65,6,9.96923076923077,10.833333333333334,9.568146052352894,15.42618592906029,2026
C Bosch,death,27,25,4,6.48,6.25,9.098718061871601,7.209806871024874,2026
C Green,death,206,103,5,12.0,20.6,10.321201253730713,9.931014567025349,2026
C Sakariya,death,210,126,8,10.0,15.75,9.656442285394867,27.173568923709464,2023
CH Gayle,death,218,152,9,8.605263157894736,16.88888888888889,9.071233353347989,36.610236674975326,2020
CH Morris,death,926,646,64,8.60061919504644,10.09375,8.793957162439657,1909.6749836044287,2021
CJ Anderson,death,188,88,7,12.818181818181817,12.571428571428571,10.486635949158133,19.157716638015668,2018
CJ Jordan,death,514,278,17,11.093525179856115,16.352941176470587,10.409551741251063,113.828148363437,2023
CK Langeveldt,death,62,48,4,7.75,12.0,9.101720056015441,7.207428881164514,2011
CR Brathwaite,death,94,56,7,10.071428571428571,8.0,9.576565631919332,20.978293025047194,2018
CR Woakes,death,278,158,16,10.556962025316455,9.875,9.936878112214595,105.62673589704316,2021
CRD Fernando,death,124,84,7,8.857142857142858,12.0,9.260637898250009,21.693969919498123,2010
CV Varun,death,453,316,20,8.60126582278481,15.8,8.919213255600297,183.87271982428024,2026
D Pretorius,death,140,72,3,11.666666666666666,24.0,10.03639690491293,3.6766182475243707,2023
D Wiese,death,105,62,8,10.161290322580646,7.75,9.609797562691643,27.30546593600702,2016
DE Bollinger,death,287,234,28,7.3589743589743595,8.357142857142858,8.302372898861893,387.1664208723552,2012
DJ Bravo,death,2101,1385,129,9.101805054151624,10.736434108527131,9.142859476969463,7462.446532385645,2022
DJ Hooda,death,95,43,1,13.25581395348837,43.0,10.124865435343498,0.4049436534423336,2022
DJ Hussey,death,113,53,2,12.79245283018868,26.5,10.152088603273194,1.6154311335218625,2014
DJ Willey,death,60,36,2,10.0,18.0,9.522588630353907,1.7222207780480898,2023
DJG Sammy,death,106,50,4,12.72,12.5,10.104971320864296,6.49185414950679,2014
DL Chahar,death,293,193,15,9.10880829015544,12.866666666666667,9.272469004154,99.48806510830356,2026
DL Vettori,death,222,165,9,8.072727272727272,18.333333333333332,8.81032770447709,37.69439811316426,2012
DP Nannes,death,302,208,21,8.711538461538462,9.904761904761905,9.061334922113529,199.54013570202147,2013
DP Vijaykumar,death,48,26,1,11.076923076923077,26.0,9.627683138514715,0.4258553112948123,2008
DR Sams,death,145,66,2,13.18181818181818,33.0,10.382061201577594,1.5796477868487189,2022
DR Smith,death,149,71,7,12.591549295774648,10.142857142857142,10.277135239141925,19.54824913024827,2017
DS Kulkarni,death,549,344,24,9.575581395348838,14.333333333333334,9.524523142136832,247.94942116862487,2021
DS Rathi,death,143,84,5,10.214285714285714,16.8,9.66924004878764,10.60062626254188,2026
DT Christian,death,368,211,13,10.464454976303317,16.23076923076923,9.969748703477222,69.5002472588233,2021
DW Steyn,death,858,634,55,8.119873817034701,11.527272727272727,8.429092851160137,1471.3920250970996,2020
E Malinga,death,231,138,14,10.043478260869566,9.857142857142858,9.686840761596853,82.95790338433605,2026
FH Edwards,death,75,50,2,9.0,25.0,9.345787647394907,1.7548012664905157,2009
Fazalhaq Farooqi,death,122,50,1,14.64,50.0,10.496808055558173,0.3905949292679507,2025
G Coetzee,death,172,99,7,10.424242424242426,14.142857142857142,9.767748209563784,20.567688241932267,2025
GB Hogg,death,116,92,7,7.565217391304348,13.142857142857142,8.835254263455584,22.73845143664551,2016
GC Viljoen,death,89,42,2,12.714285714285715,21.0,10.015687652370262,1.6374312547694971,2019
GD McGrath,death,118,78,3,9.076923076923077,26.0,9.332300269640118,3.954009079631015,2008
GJ Maxwell,death,93,62,3,9.0,20.666666666666668,9.329641920668298,3.9551357183660043,2024
GS Sandhu,death,50,24,1,12.5,24.0,9.770401705989737,0.41963474208910956,2015
Gagandeep Singh,death,64,24,1,16.0,24.0,10.153963349825354,0.4037832183105643,2008
Gurjapneet Singh,death,55,37,2,8.91891891891892,18.5,9.352232644878242,1.7535919627685344,2026
HF Gurney,death,108,54,4,12.0,13.5,9.990835235388564,6.56601760057438,2019
HH Pandya,death,624,320,35,11.7,9.142857142857142,10.842170822547091,463.2374901855763,2026
HV Patel,death,1348,850,93,9.51529411764706,9.13978494623656,9.500208587188279,3732.644359811383,2026
Harbhajan Singh,death,369,273,27,8.10989010989011,10.11111111111111,8.661790541905454,345.0672220183346,2021
Harmeet Singh,death,167,129,13,7.767441860465117,9.923076923076923,8.770734486456025,79.00136540103824,2013
Harpreet Brar,death,97,55,3,10.581818181818182,18.333333333333332,9.686871894447009,3.809279239168311,2025
Harsh Dubey,death,43,30,5,8.6,6.0,9.32319099383001,10.994089906324284,2026
