batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Badoni,middle,509,397,128.2115869017632,127.36107235205827,50562.34572376713,2026
A Manohar,middle,132,123,107.31707317073172,118.54639884408331,14581.207057822248,2025
A Mhatre,middle,156,84,185.71428571428572,143.7195513706756,12072.44231513675,2026
A Raghuvanshi,middle,350,248,141.1290322580645,134.30644431697175,33307.998190608996,2026
AD Russell,middle,1174,767,153.0638852672751,147.50286365116267,113134.69642044177,2025
AK Markram,middle,854,658,129.7872340425532,128.83675830295252,84774.58696334275,2026
AM Rahane,middle,2038,1664,122.47596153846155,122.80675354083837,204350.43789195505,2026
AR Patel,middle,900,758,118.7335092348285,120.14454861743809,91069.56785201807,2026
Abdul Samad,middle,296,245,120.81632653061224,122.94944280095112,30122.613486233025,2026
Abhishek Sharma,middle,726,421,172.44655581947742,157.62622537730275,66360.64088384446,2026
Abishek Porel,middle,287,200,143.5,134.6778603352367,26935.57206704734,2025
Aniket Verma,middle,149,95,156.8421052631579,135.85432700833962,12906.161065792265,2026
Arshad Khan,middle,39,30,130.0,126.21224369963772,3786.3673109891315,2025
Ashutosh Sharma,middle,140,103,135.92233009708738,129.1870967530822,13306.270965567466,2026
Azmatullah Omarzai,middle,70,56,125.0,125.48906307736452,7027.387532332413,2025
B Kumar,middle,34,48,70.83333333333334,114.8055754420514,5510.6676212184675,2025
B Sai Sudharsan,middle,920,639,143.97496087636932,139.68555735301976,89259.07114857962,2026
C Connolly,middle,133,72,184.72222222222223,141.5646248405187,10192.652988517346,2026
C Green,middle,399,289,138.06228373702422,133.05321246367456,38452.378402001945,2026
D Brevis,middle,368,243,151.440329218107,139.94921194616094,34007.65850291711,2026
D Ferreira,middle,77,54,142.59259259259258,129.3082523390301,6982.645626307625,2026
D Padikkal,middle,923,715,129.0909090909091,128.34918113452582,91769.66451118597,2026
DA Miller,middle,1623,1333,121.75543885971494,122.2498395500121,162959.03612016613,2026
DJ Hooda,middle,865,688,125.7267441860465,125.70527161089298,86485.22686829437,2025
DL Chahar,middle,61,39,156.4102564102564,130.75963603597646,5099.625805403081,2026
DP Conway,middle,520,341,152.4926686217009,142.71969185152705,48667.41492137072,2025
Dhruv Jurel,middle,345,262,131.6793893129771,129.09793179960283,33823.65813149594,2026
F du Plessis,middle,1920,1522,126.14980289093299,126.09071335609698,191910.0657279796,2025
GD Phillips,middle,52,51,101.96078431372548,120.72258061958736,6156.851611598955,2026
GJ Maxwell,middle,1776,1163,152.7085124677558,148.8201434701167,173077.82685574572,2025
H Klaasen,middle,1036,663,156.25942684766216,149.29808255526632,98984.62873414157,2026
HH Pandya,middle,1207,900,134.11111111111111,132.6006893446744,119340.62041020696,2026
HV Patel,middle,67,76,88.1578947368421,115.12086654028964,8749.185857062013,2025
Harpreet Brar,middle,40,54,74.07407407407408,114.44881458802607,6180.235987753407,2025
Harshit Rana,middle,29,21,138.0952380952381,126.84145755749302,2663.6706087073535,2025
Ishan Kishan,middle,1474,1073,137.37185461323392,135.56605270695465,145462.37455456235,2026
J Fraser-McGurk,middle,87,49,177.55102040816325,136.0563722640102,6666.7622409365,2025
J Overton,middle,47,30,156.66666666666666,129.7677992551933,3893.033977655799,2026
JC Archer,middle,45,37,121.62162162162163,124.99032255352797,4624.641934480535,2025
JC Buttler,middle,1813,1261,143.7747819191118,141.34461183545227,178235.55552450533,2026
JM Bairstow,middle,653,464,140.73275862068965,136.26366438910242,63226.340276543524,2025
JM Sharma,middle,579,412,140.53398058252426,135.74588934500576,55927.30641014237,2026
JP Inglis,middle,122,76,160.5263157894737,135.41606949231914,10291.621281416254,2025
K Rabada,middle,65,75,86.66666666666667,114.80649937932775,8610.487453449581,2026
KA Jamieson,middle,12,22,54.54545454545454,118.42283332911747,2605.302333240584,2025
KH Pandya,middle,969,807,120.07434944237917,121.15544394452944,97772.44326323525,2026
KK Nair,middle,805,654,123.08868501529051,123.67226717599351,80881.66273309976,2025
KL Rahul,middle,2284,1684,135.62945368171023,134.59167367345316,226652.3784660951,2026
Kartik Sharma,middle,34,32,106.25,122.8975983806982,3932.7231481823424,2026
LS Livingstone,middle,541,390,138.7179487179487,134.35513646567264,52398.50322161233,2026
M Jansen,middle,33,32,103.125,122.45706974633697,3918.626231882783,2026
M Shahrukh Khan,middle,346,255,135.68627450980392,131.3283440720411,33488.72773837048,2026
MA Agarwal,middle,1092,781,139.82074263764403,136.98540454141238,106985.60094684307,2025
MD Choudhary,middle,48,37,129.72972972972974,126.28342600180385,4672.486762066742,2026
MJ Santner,middle,21,29,72.41379310344827,118.7399769304397,3443.459330982751,2025
MK Pandey,middle,2098,1783,117.6668536174986,118.45184774136426,211199.64452285247,2025
MM Ali,middle,655,484,135.3305785123967,132.54455792697863,64151.566036657656,2025
MP Stoinis,middle,872,676,128.99408284023667,128.2408207031211,86690.79479530986,2026
MR Marsh,middle,641,478,134.10041841004184,131.645995293341,62926.785750217,2026
MS Dhoni,middle,1908,1898,100.52687038988408,102.8656258157757,195238.95779834228,2025
MW Short,middle,37,38,97.36842105263158,121.02040700608794,4598.775466231342,2026
N Pooran,middle,1342,836,160.5263157894737,153.92604736413045,128682.17559641306,2026
N Rana,middle,1723,1270,135.66929133858267,134.33293845216278,170602.83183424672,2026
N Wadhera,middle,551,401,137.40648379052368,133.55327992016527,53554.86524798627,2026
Naman Dhir,middle,158,100,158.0,136.60255875396098,13660.255875396098,2026
Nithish Kumar Reddy,middle,396,287,137.97909407665506,132.98289384319187,38166.090532996066,2026
P Simran Singh,middle,513,317,161.82965299684543,148.04248990706736,46929.46930054035,2026
PD Salt,middle,382,212,180.18867924528303,154.0485376717899,32658.289986419455,2026
PHKD Mendis,middle,61,35,174.28571428571428,133.03371666268907,4656.180083194117,2025
PJ Cummins,middle,161,130,123.84615384615385,124.91616871513382,16239.101932967396,2025
PR Veer,middle,43,28,153.57142857142858,129.1379140467197,3615.861593308151,2026
PWH de Silva,middle,25,35,71.42857142857143,117.3815427496456,4108.353996237596,2025
Priyansh Arya,middle,220,107,205.607476635514,153.96607560403476,16474.37008963172,2026
Q de Kock,middle,1232,922,133.62255965292843,132.22717531998074,121913.45564502224,2026
R Ashwin,middle,279,276,101.08695652173914,111.24788711766134,30704.41684447453,2025
R Parag,middle,942,715,131.74825174825176,130.4370932224379,93262.5216540431,2026
R Powell,middle,183,173,105.78034682080926,116.29824682722416,20119.59670110978,2026
R Ravindra,middle,110,77,142.85714285714286,130.50645158977386,10048.996772412587,2025
R Shepherd,middle,56,37,151.35135135135135,129.7317018638728,4800.0729689632935,2026
R Tewatia,middle,332,346,95.95375722543352,106.65019377526524,36900.96704624177,2026
RA Jadeja,middle,1394,1260,110.63492063492065,112.64450503946289,141932.07634972324,2026
RA Tripathi,middle,1059,785,134.9044585987261,133.05893350246785,104451.26279943726,2025
RD Gaikwad,middle,1055,745,141.61073825503357,138.29548386427498,103030.13547888487,2026
RD Rickelton,middle,144,93,154.83870967741936,135.06164872367532,12560.733331301804,2026
RG Sharma,middle,3163,2601,121.60707420222991,121.88760902447014,317029.6710726468,2026
RK Singh,middle,525,472,111.22881355932203,115.43891279223162,54487.16683793333,2026
RM Patidar,middle,952,557,170.91561938958708,159.17254631970542,88659.10830007592,2026
RR Pant,middle,2204,1615,136.47058823529412,135.30262697923675,218513.74257146736,2026
Rahmanullah Gurbaz,middle,111,73,152.05479452054794,132.82744340454659,9696.403368531901,2025
Ramandeep Singh,middle,113,100,112.99999999999999,121.34832146582539,12134.83214658254,2026
Rashid Khan,middle,92,71,129.5774647887324,126.68328884367854,8994.513507901176,2026
S Dube,middle,1239,917,135.1145038167939,133.45121837447707,122374.76724939547,2026
SA Yadav,middle,2652,1840,144.1304347826087,142.35761908226954,261938.01911137594,2026
SB Dubey,middle,34,32,106.25,122.8975983806982,3932.7231481823424,2025
SE Rutherford,middle,237,167,141.91616766467067,133.14296915032733,22234.875848104664,2026
SM Curran,middle,389,348,111.7816091954023,116.75461295104694,40630.60530696433,2025
SN Khan,middle,267,249,107.2289156626506,115.31025863157318,28712.25439926172,2026
SN Thakur,middle,116,90,128.88888888888889,126.65878888567892,11399.290999711102,2026
SO Hetmyer,middle,534,420,127.14285714285714,126.66301598767234,53198.46671482238,2026
SP Narine,middle,486,279,174.19354838709677,154.2146726422331,43025.89366718303,2026
SS Iyer,middle,2228,1636,136.18581907090464,135.0615810116977,220960.74653513747,2026
SV Samson,middle,2637,1913,137.84631468897018,136.71620248217198,261538.095348395,2026
Sameer Rizvi,middle,264,179,147.48603351955308,136.09025356261628,24360.155387708313,2026
Shahbaz Ahmed,middle,260,242,107.43801652892562,115.55550304901257,27964.431737861043,2026
