batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Ashish Reddy,middle,61,41,148.78048780487805,129.76641659647765,5320.423080455584,2016
A Badoni,middle,514,406,126.60098522167486,126.33090568513931,51290.34770816656,2026
A Chopra,middle,25,30,83.33333333333334,120.11055251897211,3603.3165755691634,2009
A Flintoff,middle,23,23,100.0,123.04988218701251,2830.1472903012877,2009
A Manohar,middle,132,123,107.31707317073172,118.63168024141109,14591.696669693563,2025
A Mhatre,middle,156,84,185.71428571428572,143.81675382354382,12080.60732117768,2026
A Mishra,middle,120,164,73.17073170731707,101.7405969826427,16685.457905153402,2023
A Raghuvanshi,middle,350,248,141.1290322580645,134.3676621146021,33323.18020442132,2026
A Symonds,middle,609,481,126.61122661122661,126.36815727332653,60783.08364847006,2011
AA Bilakhia,middle,10,20,50.0,118.72034565938942,2374.4069131877886,2009
AA Jhunjhunwala,middle,124,125,99.2,115.39023223990228,14423.779029987785,2012
AB Agarkar,middle,34,47,72.3404255319149,115.39204263127574,5423.42600366996,2013
AB Barath,middle,22,23,95.65217391304348,122.59116659068223,2819.5968315856912,2010
AB de Villiers,middle,2570,1957,131.32345426673479,130.82010888325684,256014.95308453363,2021
AC Gilchrist,middle,611,425,143.76470588235296,138.10463599478825,58694.47029778501,2013
AC Voges,middle,89,78,114.1025641025641,122.4354370577609,9549.96409050535,2010
AD Hales,middle,34,37,91.8918918918919,120.365837572279,4453.535990174323,2018
AD Mascarenhas,middle,26,36,72.22222222222221,117.42369834099016,4227.253140275646,2012
AD Mathews,middle,289,282,102.4822695035461,112.00183294920069,31584.516891674593,2017
AD Nath,middle,57,62,91.93548387096774,117.60651485124018,7291.603920776891,2019
AD Russell,middle,1174,767,153.0638852672751,147.53105438333546,113156.3187120183,2025
AJ Finch,middle,898,658,136.4741641337386,134.02681631508645,88189.64513532688,2022
AK Markram,middle,869,672,129.31547619047618,128.51773277597317,86363.91642545396,2026
AL Menaria,middle,296,268,110.44776119402985,116.90037649410093,31329.300900419046,2012
AM Nayar,middle,297,307,96.74267100977198,108.01767792185007,33161.42712200797,2014
AM Rahane,middle,2038,1664,122.47596153846155,122.82134175189282,204374.71267514964,2026
AP Majumdar,middle,64,58,110.34482758620689,122.23270480936257,7089.4968789430295,2012
AP Tare,middle,73,45,162.22222222222223,132.60364298653639,5967.163934394137,2016
AR Patel,middle,900,758,118.7335092348285,120.17300557898083,91091.13822886748,2026
AS Raut,middle,67,58,115.51724137931035,123.4184755603507,7158.271582500341,2011
AT Rayudu,middle,2383,1971,120.90309487569762,121.34112387662452,239163.35516082693,2023
Abdul Samad,middle,296,245,120.81632653061224,123.0110779926562,30137.71410820077,2026
Abhishek Sharma,middle,749,433,172.97921478060044,158.31986356173365,68552.50092223067,2026
Abishek Porel,middle,287,200,143.5,134.74651725764235,26949.30345152847,2025
Aman Hakim Khan,middle,52,58,89.65517241379311,117.48962180540998,6814.398064713779,2023
Aniket Verma,middle,149,95,156.8421052631579,135.9478424716163,12915.045034803548,2026
Anirudh Singh,middle,32,32,100.0,122.13601020602964,3908.3523265929484,2010
Anmolpreet Singh,middle,23,24,95.83333333333334,122.48801057885264,2939.712253892463,2023
Anuj Rawat,middle,93,98,94.89795918367348,115.4432570538182,11313.439191274183,2024
Arshad Khan,middle,39,30,130.0,126.33277474119436,3789.983242235831,2025
Ashutosh Sharma,middle,140,103,135.92233009708738,129.27810173412325,13315.644478614695,2026
Atharva Taide,middle,103,74,139.1891891891892,129.46049931884284,9580.07694959437,2024
Azhar Mahmood,middle,243,188,129.25531914893617,127.48008959991834,23966.25684478465,2013
Azmatullah Omarzai,middle,70,56,125.0,125.59710883174793,7033.438094577884,2025
B Akhil,middle,27,21,128.57142857142858,126.04108479985523,2646.8627807969597,2011
B Chipli,middle,125,119,105.0420168067227,117.91361247378576,14031.719884380505,2013
B Kumar,middle,34,48,70.83333333333334,114.91717825830752,5516.024556398761,2025
B Sai Sudharsan,middle,1024,694,147.55043227665706,142.77263702673648,99084.2100965551,2026
BA Stokes,middle,488,389,125.44987146529563,125.55629163830262,48841.39744729972,2023
BB McCullum,middle,1133,864,131.13425925925927,130.14624581375708,112446.35638308611,2018
BB Samantray,middle,68,62,109.6774193548387,121.88667049326354,7556.97357058234,2013
BCJ Cutting,middle,22,20,110.00000000000001,124.30174100822664,2486.034820164533,2019
BJ Hodge,middle,646,582,110.99656357388317,114.7038279495093,66757.62786661442,2014
BJ Rohrer,middle,114,105,108.57142857142857,119.74958105589577,12573.706010869057,2013
BMAJ Mendis,middle,22,25,88.0,121.47670143985785,3036.917535996446,2013
C Connolly,middle,150,82,182.9268292682927,142.68907695584377,11700.504310379189,2026
C Green,middle,425,303,140.26402640264027,134.5881010376882,40780.194614419524,2026
C Munro,middle,42,45,93.33333333333333,119.68697631986971,5385.913934394137,2019
C de Grandhomme,middle,142,110,129.0909090909091,126.966801038586,13966.34811424446,2019
CA Ingram,middle,128,119,107.56302521008404,118.86902648652462,14145.41415189643,2019
CA Lynn,middle,508,370,137.2972972972973,133.31836162259953,49327.793800361826,2021
CA Pujara,middle,128,121,105.78512396694215,118.1166908758504,14292.119595977898,2014
CH Gayle,middle,2003,1285,155.87548638132296,151.90869886268158,195202.67803854583,2021
CH Morris,middle,102,93,109.6774193548387,120.57248026655809,11213.240664789902,2021
CJ Anderson,middle,311,256,121.484375,123.33675014804597,31574.208037899767,2018
CJ Ferguson,middle,58,70,82.85714285714286,114.43348798780653,8010.344159146457,2012
CL White,middle,496,449,110.46770601336303,115.10073651672164,51680.23069600802,2013
CM Gautam,middle,46,44,104.54545454545455,121.86139881493192,5361.9015478570045,2014
CR Brathwaite,middle,24,32,75.0,118.61178113113976,3795.5769961964725,2018
CR Woakes,middle,15,21,71.42857142857143,120.48552924429967,2530.196114130293,2018
D Brevis,middle,369,248,148.79032258064515,138.65660116652083,34386.837089297165,2026
D Ferreira,middle,86,58,148.27586206896552,130.92835698327562,7593.844705029986,2026
D Padikkal,middle,958,731,131.0533515731874,129.94046902458825,94986.48285697402,2026
D Wiese,middle,22,23,95.65217391304348,122.59116659068223,2819.5968315856912,2015
DA Miller,middle,1623,1333,121.75543885971494,122.26758790364445,162982.69467555804,2026
DA Warner,middle,2607,1939,134.45074780814855,133.65739190101627,259161.68289607053,2024
DB Das,middle,129,111,116.21621621621621,122.30351083911349,13575.689703141597,2013
