bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Badoni,middle,45,24,2,11.25,12.0,7.975908980255026,2.0561919701691,2026
A Kamboj,middle,124,78,4,9.538461538461538,19.5,8.134520390754032,8.064396774340027,2026
A Nortje,middle,324,236,12,8.23728813559322,19.666666666666668,7.936714771869723,74.38846134329634,2026
A Zampa,middle,435,336,16,7.767857142857143,21.0,7.696278844963937,136.37759508763202,2025
AD Russell,middle,1221,813,51,9.011070110701107,15.941176470588236,8.732861177257789,1221.1461723188231,2025
AJ Hosein,middle,101,78,6,7.76923076923077,13.0,7.6290258852595265,19.347162038758622,2026
AK Markram,middle,266,168,5,9.5,33.6,8.464804591393529,12.108962338506364,2026
AM Ghazanfar,middle,177,126,4,8.428571428571427,31.5,7.908797715501093,8.294560356680416,2026
AR Patel,middle,2947,2489,101,7.104057854560064,24.643564356435643,7.138123720818126,5859.256806942313,2026
AS Roy,middle,209,168,9,7.464285714285714,18.666666666666668,7.522655831062949,44.14664281578256,2026
Abhinandan Singh,middle,35,24,1,8.75,24.0,7.7019363775153,0.5323336624760187,2026
Abhishek Sharma,middle,362,258,10,8.418604651162791,25.8,8.054578513633224,50.902725612026956,2026
Akash Deep,middle,208,114,4,10.94736842105263,28.5,8.817877238433175,7.439432215508625,2025
Akash Madhwal,middle,223,138,10,9.695652173913043,13.8,8.452624824852405,48.50564274360292,2025
Akash Singh,middle,113,66,4,10.272727272727273,16.5,8.255647765041573,7.946075446409219,2026
Arshad Khan,middle,126,72,5,10.5,14.4,8.362262422006932,12.257448382659119,2026
Arshdeep Singh,middle,504,354,17,8.542372881355933,20.823529411764707,8.198040194309382,144.5345438562854,2026
Ashok Sharma,middle,73,54,1,8.11111111111111,54.0,7.689654886248396,0.5331838763443251,2026
Ashwani Kumar,middle,153,102,8,9.0,12.75,8.063043995541586,32.54354064607517,2026
Avesh Khan,middle,690,510,27,8.117647058823529,18.88888888888889,7.9669844917387955,375.16076541874526,2026
Azmatullah Omarzai,middle,134,96,7,8.375,13.714285714285714,7.837539748026979,25.633043845241684,2026
B Kumar,middle,620,446,12,8.340807174887892,37.166666666666664,8.10721383256763,72.82403205257691,2026
Brijesh Sharma,middle,101,78,4,7.76923076923077,19.5,7.6290258852595265,8.598738683892721,2026
C Bosch,middle,121,84,5,8.642857142857142,16.8,7.895068339339967,12.9827881906047,2026
C Green,middle,405,300,16,8.100000000000001,18.75,7.892371851870406,132.98917229188285,2026
C Sakariya,middle,175,120,6,8.75,20.0,8.0213462434154,18.400901235395814,2025
CV Varun,middle,1726,1404,76,7.376068376068376,18.473684210526315,7.400077590166261,3200.182661796649,2026
DJ Hooda,middle,347,264,6,7.886363636363637,44.0,7.753211474239326,19.03727255349773,2025
DL Chahar,middle,344,258,8,8.0,32.25,7.816167917606735,33.57143842942737,2026
DS Rathi,middle,439,312,10,8.442307692307693,31.2,8.107937015139747,50.5677337199854,2026
E Malinga,middle,227,174,12,7.827586206896552,14.5,7.693019150883065,76.7449018935861,2026
Fazalhaq Farooqi,middle,115,72,2,9.583333333333334,36.0,8.115071410770977,2.020931076248152,2025
G Coetzee,middle,182,108,5,10.11111111111111,21.6,8.477637183748682,12.090633012284215,2025
GF Linde,middle,51,36,1,8.5,36.0,7.71742020205996,0.5312656163138058,2026
GJ Maxwell,middle,932,702,30,7.965811965811966,23.4,7.880405871433501,468.2499937441373,2025
Gurjapneet Singh,middle,138,96,2,8.625,48.0,7.920013974831102,2.0707034169532177,2026
HH Pandya,middle,1376,1012,39,8.158102766798418,25.94871794871795,8.063565921023901,773.3675226416636,2026
HV Patel,middle,1608,1242,60,7.768115942028985,20.7,7.741631222460579,1906.5749292186924,2026
Harpreet Brar,middle,780,648,31,7.222222222222222,20.903225806451612,7.303350019781555,539.4921494010291,2026
Harsh Dubey,middle,184,108,7,10.222222222222221,15.428571428571429,8.517241144144721,23.58745004397475,2026
Harshit Rana,middle,296,198,11,8.96969696969697,18.0,8.276651569149747,59.939698542965715,2025
I Sharma,middle,620,432,17,8.61111111111111,25.41176470588235,8.288236150998166,142.96166016665686,2025
J Overton,middle,146,108,9,8.11111111111111,12.0,7.764765896619969,42.77012397045535,2026
JA Duffy,middle,30,24,1,7.5,24.0,7.564950076145437,0.5419731734818095,2026
JC Archer,middle,307,264,16,6.977272727272727,16.5,7.230335657245862,145.16615130421312,2026
JD Unadkat,middle,1157,834,31,8.323741007194245,26.903225806451612,8.181461678013461,481.5887618942798,2026
JJ Bumrah,middle,1021,942,47,6.503184713375797,20.04255319148936,6.686652653188964,1354.4744238629817,2026
JO Holder,middle,619,483,25,7.6894409937888195,19.32,7.6559352015868,334.7076395668664,2026
JR Hazlewood,middle,226,181,13,7.4917127071823195,13.923076923076923,7.533840602861305,91.9716830399678,2026
K Kartikeya,middle,339,252,11,8.071428571428573,22.90909090909091,7.853968829252463,63.16551679607551,2025
K Khejroliya,middle,113,78,3,8.692307692307692,26.0,7.89276214899579,4.675169389805425,2025
K Rabada,middle,653,520,29,7.5346153846153845,17.93103448275862,7.54506862472147,457.0004822358111,2026
KA Jamieson,middle,74,54,5,8.222222222222223,10.8,7.713751271790565,13.287957621196028,2025
KH Pandya,middle,2266,1878,70,7.239616613418531,26.82857142857143,7.270971570996552,2763.042023178545,2026
KK Ahmed,middle,362,264,16,8.227272727272727,16.5,7.9492899056118755,132.03695077959415,2026
KV Sharma,middle,1837,1308,71,8.426605504587156,18.422535211267604,8.315851009099037,2485.386038949637,2025
Kartik Tyagi,middle,354,264,8,8.045454545454545,33.0,7.844714742213182,33.449272360153486,2026
Kuldeep Yadav,middle,2503,1838,79,8.170837867247009,23.265822784810126,8.113489457292598,3153.772508695479,2026
L Ngidi,middle,158,120,7,7.9,17.142857142857142,7.697536719605876,26.09925841448748,2026
LH Ferguson,middle,583,456,23,7.671052631578947,19.82608695652174,7.641665232989018,283.82557124288473,2026
LS Livingstone,middle,419,270,11,9.31111111111111,24.545454545454547,8.58220229392656,57.80567539768659,2025
M Jansen,middle,518,336,13,9.25,25.846153846153847,8.63413195230857,80.25126368548656,2026
M Markande,middle,962,654,33,8.825688073394495,19.818181818181817,8.537955319995113,522.9472201082631,2026
M Pathirana,middle,360,300,14,7.199999999999999,21.428571428571427,7.34691730641586,109.37920851487442,2025
M Prasidh Krishna,middle,696,525,30,7.954285714285714,17.5,7.851005648160903,470.00348303970225,2026
M Siddharth,middle,144,90,4,9.600000000000001,22.5,8.21306690061702,7.9872720865176055,2026
M Theekshana,middle,527,408,14,7.75,29.142857142857142,7.692743062480681,104.46208764196822,2025
M Tiwari,middle,58,42,2,8.285714285714285,21.0,7.699257665298949,2.1300754842789402,2026
MA Starc,middle,203,162,13,7.518518518518519,12.461538461538462,7.548246685366529,91.79615199160042,2026
MD Shanaka,middle,40,24,1,10.0,24.0,7.838922678885163,0.5230310551529886,2026
MJ Henry,middle,48,24,0,12.0,999.0,8.058100761076943,0.0,2026
MJ Santner,middle,553,480,23,6.9125,20.869565217391305,7.103294913593853,305.33717470314957,2026
MM Ali,middle,860,701,37,7.360912981455064,18.945945945945947,7.407058110129298,757.7772330858655,2025
MM Sharma,middle,950,738,36,7.723577235772358,20.5,7.69209439086372,690.787154966692,2025
MP Stoinis,middle,896,601,23,8.945091514143094,26.130434782608695,8.60894983250735,251.93549064605355,2026
MP Yadav,middle,211,126,4,10.047619047619047,31.5,8.544311734192682,7.6776224979575,2026
Mohammed Shami,middle,744,528,18,8.454545454545455,29.333333333333332,8.21676911020173,161.66938393713565,2026
Mohammed Siraj,middle,562,456,21,7.394736842105263,21.714285714285715,7.448116845892244,242.75934943168835,2026
Mohsin Khan,middle,190,156,11,7.307692307692307,14.181818181818182,7.45505432101382,66.54545743571924,2026
Mujeeb Ur Rahman,middle,289,234,11,7.410256410256411,21.272727272727273,7.484205283626692,66.28626302986709,2025
Mukesh Choudhary,middle,101,72,5,8.416666666666666,14.4,7.800464669197943,13.140242837679466,2026
Mukesh Kumar,middle,266,176,13,9.068181818181818,13.538461538461538,8.28227511233383,83.66058729057967,2026
Mustafizur Rahman,middle,415,326,16,7.638036809815951,20.375,7.613673832391268,137.85723201519735,2025
N Burger,middle,127,72,4,10.583333333333332,18.0,8.384734332119292,7.823742220276071,2026
N Rana,middle,231,156,9,8.884615384615385,17.333333333333332,8.15590902186852,40.71894366520481,2026
Naman Dhir,middle,61,34,0,10.764705882352942,999.0,8.046829985484065,0.0,2025
Navdeep Saini,middle,295,204,5,8.676470588235293,40.8,8.137153049312909,12.596543210976591,2026
Nithish Kumar Reddy,middle,315,186,6,10.161290322580646,31.0,8.836546106760762,16.703358780312655,2026
Noor Ahmad,middle,1174,887,45,7.941375422773394,19.711111111111112,7.874976032047922,1054.2889230662076,2026
P Dubey,middle,100,72,2,8.333333333333332,36.0,7.777992759085583,2.108513148311038,2025
PHKD Mendis,middle,60,42,2,8.571428571428571,21.0,7.749890576691353,2.1161589105947898,2025
PJ Cummins,middle,653,522,29,7.5057471264367805,18.0,7.524022408195049,458.2788052630442,2026
PP Hinge,middle,39,24,1,9.75,24.0,7.811525418611191,0.524865475087827,2026
PVD Chameera,middle,125,90,1,8.333333333333332,90.0,7.81306690061702,0.5247619215542889,2025
PWH de Silva,middle,855,618,31,8.300970873786408,19.93548387096774,8.126351865529951,484.85471281559506,2025
Prince Yadav,middle,217,168,10,7.75,16.8,7.654887236021628,53.56055384730707,2026
R Ashwin,middle,3272,2857,109,6.871543577178859,26.211009174311926,6.916357820011747,7043.027742008475,2025
