bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Ashish Reddy,middle,204,155,8,7.896774193548387,19.375,7.703672997754805,34.06167422688827,2016
A Badoni,middle,45,24,2,11.25,12.0,7.955641777233705,2.0614301723502844,2026
A Chandila,middle,100,84,1,7.142857142857142,84.0,7.427546771376995,0.5519992167265612,2013
A Choudhary,middle,55,41,1,8.048780487804878,41.0,7.636803174636362,0.5368738602059397,2017
A Flintoff,middle,26,30,1,5.2,30.0,7.23682466317414,0.5665468200250275,2009
A Kamboj,middle,86,60,4,8.6,15.0,7.797198232212476,8.413278468282037,2026
A Kumble,middle,758,690,28,6.591304347826087,24.642857142857142,6.802582541484951,472.5264236629639,2010
A Mishra,middle,3127,2712,131,6.918141592920354,20.702290076335878,6.960538544621322,10108.427609293245,2024
A Mithun,middle,198,144,2,8.25,72.0,7.847449997681951,2.0898508438848764,2013
A Nehra,middle,347,288,13,7.229166666666667,22.153846153846153,7.358769253031432,94.15976723479419,2017
A Nortje,middle,324,236,12,8.23728813559322,19.666666666666668,7.9264165875039,74.48510855848446,2026
A Singh,middle,59,48,1,7.375,48.0,7.515578391827907,0.5455335286580406,2012
A Symonds,middle,426,330,12,7.745454545454546,27.5,7.67292485564606,76.94588583981229,2011
A Zampa,middle,435,336,16,7.767857142857143,21.0,7.687920055017291,136.52587338171006,2025
AA Chavan,middle,140,90,2,9.333333333333334,45.0,8.11328262882169,2.021376642512182,2013
AA Jhunjhunwala,middle,80,54,1,8.88888888888889,54.0,7.840504213711572,0.5229255527762957,2012
AB Agarkar,middle,547,420,18,7.814285714285715,23.333333333333332,7.730545608478344,171.83780644707662,2013
AB Dinda,middle,306,294,11,6.244897959183674,26.727272727272727,6.765410121092396,73.32888784573724,2015
AB McDonald,middle,147,114,7,7.7368421052631575,16.285714285714285,7.61904708483554,26.368126848810057,2013
AC Thomas,middle,27,24,3,6.75,8.0,7.462491092302198,4.9447295204229516,2012
AC Voges,middle,44,36,1,7.333333333333334,36.0,7.51638765893585,0.5454747926852495,2010
AD Mascarenhas,middle,115,114,5,6.052631578947368,22.8,6.997687861534568,14.647695357123588,2013
AD Mathews,middle,663,510,12,7.800000000000001,42.5,7.730901488247066,76.36884274072796,2017
