batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Badoni,powerplay,29,48,60.416666666666664,112.17812421714397,5384.5499624229105,2026
A Mhatre,powerplay,207,115,180.0,145.35252962827735,16715.540907251896,2026
A Raghuvanshi,powerplay,192,116,165.51724137931035,140.062007024971,16247.192814896636,2026
AK Markram,powerplay,414,316,131.0126582278481,128.68744458858313,40665.23248999227,2026
AM Rahane,powerplay,2608,2117,123.19319792158716,123.33879073735552,261108.21999098166,2026
AR Patel,powerplay,71,64,110.9375,121.46441770179916,7773.7227329151465,2026
Abhishek Sharma,powerplay,1051,653,160.94946401225116,152.66425021788442,99689.75539227853,2026
Abishek Porel,powerplay,316,208,151.9230769230769,138.8567845775831,28882.21119213729,2025
Atharva Taide,powerplay,157,103,152.4271844660194,134.42712813679861,13845.994198090257,2025
B Sai Sudharsan,powerplay,727,530,137.16981132075472,133.87487473760825,70953.68361093238,2026
C Green,powerplay,197,124,158.8709677419355,138.1168783221504,17126.49291194665,2026
D Brevis,powerplay,84,70,120.0,123.61994031987163,8653.395822391014,2025
D Padikkal,powerplay,871,684,127.3391812865497,126.80237108619565,86732.82182295782,2026
DJ Hooda,powerplay,164,164,100.0,113.53561054252364,18619.840128973876,2025
DP Conway,powerplay,463,367,126.15803814713897,125.72826367396084,46142.27276834363,2025
F du Plessis,powerplay,2276,1670,136.2874251497006,135.09881189531689,225615.0158651792,2025
FH Allen,powerplay,71,31,229.03225806451616,139.20037249896453,4315.2115474679,2026
H Klaasen,powerplay,91,69,131.8840579710145,126.73971282108327,8745.040184654747,2026
HH Pandya,powerplay,177,178,99.43820224719101,112.75947502618226,20071.186554660442,2026
Ishan Kishan,powerplay,1358,1012,134.1897233201581,132.69203329309528,134284.33769261243,2026
J Fraser-McGurk,powerplay,292,142,205.6338028169014,158.92962666102667,22568.006985865788,2025
JC Buttler,powerplay,1741,1232,141.31493506493507,139.07448085828028,171339.7604174013,2026
JG Bethell,powerplay,54,29,186.20689655172413,132.85394725341956,3852.7644703491674,2025
JM Bairstow,powerplay,944,623,151.52487961476726,145.1824990033814,90448.6968791066,2025
JM Sharma,powerplay,13,23,56.52173913043478,117.70313846222929,2707.1721846312735,2025
JP Inglis,powerplay,128,77,166.23376623376623,136.61501538516904,10519.356184658016,2025
