batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Badoni,powerplay,82,83,98.79518072289156,117.45792379886797,9749.007675306042,2026
A Chopra,powerplay,27,39,69.23076923076923,116.03975562429613,4525.55046934755,2009
A Mhatre,powerplay,275,145,189.6551724137931,152.80383181201557,22156.555612742257,2026
A Raghuvanshi,powerplay,235,158,148.73417721518987,135.84505047049657,21463.517974338458,2026
A Symonds,powerplay,72,82,87.8048780487805,114.27185132160756,9370.29180837182,2011
AA Bilakhia,powerplay,23,31,74.19354838709677,118.377446088873,3669.700828755063,2009
AA Jhunjhunwala,powerplay,24,34,70.58823529411765,117.26333107460827,3986.9532565366812,2011
AB de Villiers,powerplay,741,614,120.6840390879479,121.82114068737366,74798.18038204743,2021
AC Blizzard,powerplay,99,76,130.26315789473685,126.76495504090515,9634.136583108791,2012
AC Gilchrist,powerplay,1372,1026,133.7231968810916,132.39418740056126,135836.43627297584,2013
AD Hales,powerplay,113,80,141.25,130.01201024031016,10400.960819224812,2018
AG Paunikar,powerplay,48,55,87.27272727272727,117.0132112643412,6435.726619538766,2011
AJ Finch,powerplay,903,790,114.30379746835445,116.50081504171095,92035.64388295166,2022
AK Markram,powerplay,470,361,130.1939058171745,128.5131345613045,46393.24157663092,2026
AM Nayar,powerplay,60,71,84.50704225352112,114.48610081235073,8128.513157676902,2014
AM Rahane,powerplay,2636,2141,123.12003736571695,123.31048921921459,264007.75741833844,2026
AP Tare,powerplay,226,201,112.43781094527363,118.82147175779114,23883.11582331602,2017
AR Patel,powerplay,72,65,110.76923076923077,121.74347236955883,7913.325704021324,2026
AT Rayudu,powerplay,772,728,106.04395604395604,110.133589183191,80177.25292536305,2022
Abhishek Sharma,powerplay,1209,710,170.28169014084506,160.61138432716606,114034.08287228791,2026
Abishek Porel,powerplay,316,208,151.9230769230769,139.09008142949205,28930.736937334346,2025
Anirudh Singh,powerplay,18,20,90.0,122.1083851910944,2442.167703821888,2010
Ankit Sharma,powerplay,27,23,117.3913043478261,124.55643493617107,2864.7980035319347,2014
Anmolpreet Singh,powerplay,116,91,127.47252747252746,126.06049935694159,11471.505441481684,2024
Anuj Rawat,powerplay,83,88,94.31818181818183,115.7360523536583,10184.77260712193,2023
Atharva Taide,powerplay,157,103,152.4271844660194,134.7426268996151,13878.490570660355,2025
Azhar Mahmood,powerplay,22,24,91.66666666666666,121.70457906888264,2920.909897653183,2013
B Chipli,powerplay,55,75,73.33333333333333,110.93815857809368,8320.361893357025,2013
B Indrajith,powerplay,19,27,70.37037037037037,118.70857124362746,3205.1314235779414,2022
B Sai Sudharsan,powerplay,764,561,136.18538324420678,133.40383970381652,74839.55407384106,2026
BA Stokes,powerplay,240,181,132.5966850828729,128.86516706405664,23324.59523859425,2023
BB McCullum,powerplay,1547,1217,127.11585866885784,126.87910964311988,154411.87643567688,2018
BB Samantray,powerplay,15,21,71.42857142857143,120.15417970409858,2523.23777378607,2013
BJ Hodge,powerplay,148,162,91.35802469135803,109.95322917670951,17812.42312662694,2011
BR Dunk,powerplay,40,35,114.28571428571428,123.71001224384909,4329.850428534718,2014
C Connolly,powerplay,63,52,121.15384615384615,124.50729885054774,6474.379540228482,2026
C Green,powerplay,230,149,154.36241610738256,137.94564772117818,20553.901510455547,2026
C Munro,powerplay,131,91,143.95604395604394,131.30525460169684,11948.778168754412,2019
CA Lynn,powerplay,773,537,143.94785847299815,139.00724428426955,74646.89018065274,2021
CA Pujara,powerplay,215,228,94.2982456140351,108.63664968341678,24769.156127819024,2014
CH Gayle,powerplay,2390,1766,135.33408833522086,134.34640633150704,237255.75358144144,2021
CJ Anderson,powerplay,52,61,85.24590163934425,115.83321412533319,7065.826061645324,2017
CJ Ferguson,powerplay,17,24,70.83333333333334,119.42147404605157,2866.1153771052377,2012
CL White,powerplay,107,116,92.24137931034483,113.03312802599774,13111.842851015737,2013
CM Gautam,powerplay,68,61,111.47540983606557,122.08321412533319,7447.076061645324,2015
D Brevis,powerplay,84,70,120.0,123.97472760786903,8678.230932550832,2025
D Padikkal,powerplay,894,700,127.71428571428571,127.21039420791651,89047.27594554155,2026
DA Miller,powerplay,98,110,89.0909090909091,112.30591087241079,12353.650195965187,2024
DA Warner,powerplay,3302,2389,138.2168271243198,137.24973019198347,327889.60542864853,2024
DB Das,powerplay,58,53,109.43396226415094,121.98912425840844,6465.4235856956475,2012
DB Ravi Teja,powerplay,53,58,91.37931034482759,117.6019874153569,6820.915270090701,2011
DJ Bravo,powerplay,123,110,111.81818181818181,120.50263218388622,13255.289540227484,2015
DJ Harris,powerplay,57,64,89.0625,116.42201859492391,7451.00919007513,2012
DJ Hooda,powerplay,164,164,100.0,113.79750088046043,18662.790144395512,2025
DJ Hussey,powerplay,134,115,116.52173913043478,122.10742843898484,14042.354270483256,2014
DJ Jacobs,powerplay,83,91,91.20879120879121,114.52203781848004,10421.505441481684,2012
DJ Mitchell,powerplay,97,78,124.35897435897436,125.10367331899374,9758.086518881511,2024
DJ Thornely,powerplay,4,20,20.0,115.59675728411764,2311.935145682353,2008
DJM Short,powerplay,50,60,83.33333333333334,115.50314829837372,6930.188897902423,2018
DP Conway,powerplay,463,367,126.15803814713897,125.89555661225143,46203.66927669627,2025
DPMD Jayawardene,powerplay,611,501,121.9560878243513,122.92141209207657,61583.62745813036,2013
DR Smith,powerplay,1209,970,124.63917525773196,124.7667835331204,121023.78002712679,2017
Dhruv Jurel,powerplay,52,29,179.31034482758622,132.38081614323792,3839.0436681539,2026
E Lewis,powerplay,420,286,146.85314685314685,138.15655471119604,39512.77464740207,2022
EJG Morgan,powerplay,176,192,91.66666666666666,108.66486515784315,20863.654110305884,2021
F du Plessis,powerplay,2276,1670,136.2874251497006,135.14922403007256,225699.2041302212,2025
FH Allen,powerplay,81,42,192.85714285714286,137.35570808474807,5768.939739559419,2026
FY Fazal,powerplay,76,78,97.43589743589743,117.41136562668606,9158.086518881513,2011
G Gambhir,powerplay,2264,1862,121.58968850698173,121.95104658049844,227072.8487328881,2018
GC Smith,powerplay,374,386,96.89119170984456,106.46007369377848,41093.588445798494,2011
GH Vihari,powerplay,59,90,65.55555555555556,106.5028168985449,9585.253520869042,2015
GJ Bailey,powerplay,131,127,103.14960629921259,116.62516402510961,14811.39583118892,2016
GJ Maxwell,powerplay,433,309,140.1294498381877,134.4311563811216,41539.22732176658,2024
Gurkeerat Singh,powerplay,35,37,94.5945945945946,120.48837420726419,4458.069845668775,2019
H Klaasen,powerplay,91,69,131.8840579710145,127.09584400032308,8769.613236022293,2026
HC Brook,powerplay,96,84,114.28571428571428,122.0548488031731,10252.607299466541,2023
HH Gibbs,powerplay,447,416,107.45192307692308,113.18052834056513,47083.09978967509,2012
HH Pandya,powerplay,177,178,99.43820224719101,113.01153569996059,20116.053354592987,2026
HM Amla,powerplay,261,199,131.15577889447238,128.30787516772918,25533.26715837811,2017
Harbhajan Singh,powerplay,62,51,121.56862745098039,124.60692201660689,6354.953022846951,2018
Harpreet Singh,powerplay,30,29,103.44827586206897,122.55938757180935,3554.222239582471,2024
IK Pathan,powerplay,92,69,133.33333333333331,127.47463187911097,8795.749599658657,2013
IR Jaggi,powerplay,25,37,67.56756756756756,116.17802937967801,4298.587087048087,2017
Ishan Kishan,powerplay,1393,1033,134.84995159728945,133.34959512710526,137750.13176629975,2026
J Arunkumar,powerplay,23,23,100.0,122.72157255084997,2822.596168669549,2008
J Botha,powerplay,45,52,86.53846153846155,117.21984945783521,6095.432171807431,2013
J Fraser-McGurk,powerplay,292,142,205.6338028169014,159.20861369758248,22607.62314505671,2025
JC Buttler,powerplay,1766,1247,141.61988773055333,139.42670098202862,173865.09612458968,2026
JD Ryder,powerplay,432,323,133.74613003095973,130.60483169128437,42185.36063628485,2012
JEC Franklin,powerplay,79,92,85.86956521739131,112.7292781048268,10371.093585644066,2012
JG Bethell,powerplay,54,29,186.20689655172413,133.27367328609506,3864.936525296757,2025
JH Kallis,powerplay,1030,975,105.64102564102565,108.93444685135493,106211.08568007106,2014
JJ Roy,powerplay,380,288,131.94444444444443,129.30290438112897,37239.23646176514,2023
JM Bairstow,powerplay,944,623,151.52487961476726,145.29743620548322,90520.30275601604,2025
JM Sharma,powerplay,13,23,56.52173913043478,118.13441658754722,2717.091581513586,2025
JP Duminy,powerplay,235,239,98.32635983263597,110.49148114305368,26407.463993189827,2018
JP Faulkner,powerplay,14,20,70.0,120.24792007481533,2404.9584014963066,2015
JP Inglis,powerplay,128,77,166.23376623376623,136.96067211796063,10545.971753082968,2025
JR Hopes,powerplay,167,133,125.5639097744361,125.4673866344064,16687.162422376052,2011
JR Philippe,powerplay,51,55,92.72727272727272,118.21321126434118,6501.726619538765,2020
K Goel,powerplay,160,161,99.37888198757764,113.63287307889127,18294.892565701495,2009
KA Pollard,powerplay,53,49,108.16326530612245,121.93976563969385,5975.0485163449985,2020
KC Sangakkara,powerplay,522,447,116.7785234899329,119.39766793782755,53370.757568208915,2013
KD Karthik,powerplay,397,405,98.0246913580247,106.92217136014214,43303.47940085757,2020
KH Pandya,powerplay,78,75,104.0,119.45667709661221,8959.250782245916,2026
KK Nair,powerplay,614,479,128.18371607515658,127.37878756095742,61014.4392416986,2026
KL Rahul,powerplay,2294,1794,127.8706800445931,127.62860875620177,228965.724108626,2026
KM Jadhav,powerplay,67,80,83.75,113.28473751303743,9062.779001042994,2020
KP Pietersen,powerplay,391,293,133.44709897610923,130.23217790181414,38158.02812523154,2016
KR Mayers,powerplay,276,200,138.0,131.7805134584438,26356.10269168876,2023
KS Bharat,powerplay,64,57,112.28070175438596,122.4337413336718,6978.723256019292,2022
KS Williamson,powerplay,483,480,100.62500000000001,107.78267083864488,51735.68200254954,2024
Kamran Akmal,powerplay,47,40,117.5,124.05660772802254,4962.264309120902,2008
L Ronchi,powerplay,34,34,100.0,121.63014330168251,4135.424872257206,2009
LA Carseldine,powerplay,38,34,111.76470588235294,123.3768681925122,4194.813518545415,2009
LA Pomersbach,powerplay,103,77,133.76623376623377,127.76949564737241,9838.251164847676,2013
LMP Simmons,powerplay,542,456,118.85964912280701,120.8192055546625,55093.5577329261,2017
LRPL Taylor,powerplay,155,121,128.099173553719,126.4345025825484,15298.574812488358,2014
LS Livingstone,powerplay,175,134,130.59701492537314,127.51763773886108,17087.363457007385,2026
Lalit Yadav,powerplay,25,31,80.64516129032258,119.26240184108539,3697.1344570736474,2023
M Kaif,powerplay,22,37,59.45945945945946,114.88492593140214,4250.742259461879,2008
M Klinger,powerplay,50,48,104.16666666666667,121.20700747360205,5817.936358732898,2011
M Manhas,powerplay,46,53,86.79245283018868,117.15041458098909,6208.971972792422,2011
M Shahrukh Khan,powerplay,23,21,109.52380952380953,123.85788340780228,2601.015551563848,2025
M Vijay,powerplay,1574,1374,114.55604075691413,115.90395335633224,159252.0319116005,2020
M Vohra,powerplay,691,540,127.96296296296296,127.28340519195278,68733.0388036545,2023
MA Agarwal,powerplay,1402,1150,121.91304347826086,122.41881250266565,140781.6343780655,2025
MC Henriques,powerplay,157,139,112.9496402877698,120.21946950923741,16710.506261784,2017
MD Mishra,powerplay,128,123,104.06504065040652,117.14875099397892,14409.296372259407,2012
MEK Hussey,powerplay,828,766,108.0939947780679,111.60593425190977,85490.14563696289,2015
MJ Clarke,powerplay,76,64,118.75,123.75792593083126,7920.507259573201,2012
MJ Guptill,powerplay,213,156,136.53846153846155,130.35129007431706,20334.80125159346,2019
MJ Lumb,powerplay,225,151,149.0066225165563,135.7031873297263,20491.18128678867,2011
MJ Santner,powerplay,20,24,83.33333333333334,120.7913370597502,2898.992089434005,2022
MK Lomror,powerplay,31,38,81.57894736842105,118.25451852397121,4493.671703910906,2023
MK Pandey,powerplay,1131,990,114.24242424242424,116.07873655365846,114917.94918812187,2023
MK Tiwary,powerplay,223,229,97.37991266375546,110.26722362284266,25251.19420963097,2018
ML Hayden,powerplay,593,457,129.75929978118162,128.45598591424127,58704.38556280826,2010
MM Ali,powerplay,233,191,121.98952879581151,123.71321973079093,23629.224968581068,2025
MN Samuels,powerplay,9,25,36.0,115.24228552766043,2881.0571381915106,2017
MN van Wyk,powerplay,28,25,112.00000000000001,123.87864916402407,3096.9662291006016,2009
MP Stoinis,powerplay,296,240,123.33333333333334,124.26046624387423,29822.511898529818,2025
MR Marsh,powerplay,647,442,146.38009049773754,139.95808919322653,61861.475423406126,2026
MS Bisla,powerplay,474,433,109.46882217090071,114.41608728676003,49542.16579516709,2015
MS Dhoni,powerplay,59,72,81.94444444444444,113.68278208271647,8185.160309955586,2022
MS Wade,powerplay,113,98,115.3061224489796,122.02492428698054,11958.442580124092,2022
MV Boucher,powerplay,22,24,91.66666666666666,121.70457906888264,2920.909897653183,2008
MW Short,powerplay,114,89,128.08988764044943,126.24402400030033,11235.71813602673,2026
