bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Kamboj,powerplay,345,240,12,8.625,20.0,8.14477754370234,72.48816764265169,2026
A Nortje,powerplay,608,444,22,8.216216216216216,20.181818181818183,8.01405044054854,247.61511232317287,2025
AD Russell,powerplay,547,407,23,8.063882063882064,17.695652173913043,7.898634936063983,274.59175130339645,2025
AJ Hosein,powerplay,71,54,2,7.888888888888889,27.0,7.626418600443847,2.150419595253471,2026
AK Markram,powerplay,57,42,1,8.142857142857142,42.0,7.658135997934674,0.5353783219710032,2025
AM Ghazanfar,powerplay,92,54,6,10.222222222222221,9.0,8.132442696829388,18.149528438429094,2026
AR Patel,powerplay,866,660,22,7.872727272727272,30.0,7.7999745397783835,254.41108684136572,2026
AS Roy,powerplay,147,90,3,9.8,30.0,8.263081514071994,4.465646373832746,2026
Abhinandan Singh,powerplay,69,24,0,17.25,999.0,8.616338956669031,0.0,2026
Abhishek Sharma,powerplay,126,84,0,9.0,999.0,7.9891692885681636,0.0,2026
Akash Deep,powerplay,201,120,5,10.05,24.0,8.504692798446088,12.052169599674194,2025
Akash Madhwal,powerplay,104,78,5,8.0,15.6,7.681238943261969,13.344201470247665,2025
Akash Singh,powerplay,221,145,6,9.144827586206896,24.166666666666668,8.232288916207406,17.929399891372974,2025
Arshad Khan,powerplay,305,186,7,9.838709677419356,26.571428571428573,8.66923420343968,23.173903863421888,2025
Arshdeep Singh,powerplay,1334,936,42,8.551282051282051,22.285714285714285,8.37929109771045,863.1279085143819,2026
Ashok Sharma,powerplay,60,24,0,15.0,999.0,8.369763614203277,0.0,2026
Ashwani Kumar,powerplay,66,36,4,11.0,9.0,8.090814855023886,8.107959603014093,2026
Auqib Nabi,powerplay,86,42,0,12.285714285714285,999.0,8.392313213124547,0.0,2026
Avesh Khan,powerplay,935,599,22,9.365609348914859,27.227272727272727,8.920627495605187,222.45071896317037,2026
Azmatullah Omarzai,powerplay,260,162,3,9.62962962962963,54.0,8.495737343166716,4.34335461532122,2025
B Kumar,powerplay,2645,2453,94,6.4696290256828375,26.095744680851062,6.549463078364999,5531.384720630232,2026
Brijesh Sharma,powerplay,36,24,0,9.0,999.0,7.712229367627935,0.0,2026
C Green,powerplay,204,132,3,9.272727272727273,44.0,8.247639851714121,4.474007190351674,2026
C Sakariya,powerplay,218,198,6,6.6060606060606055,33.0,7.076280487304116,20.85841569802328,2025
CV Varun,powerplay,503,384,15,7.859375,25.6,7.756439087237509,118.93344221807749,2026
DL Chahar,powerplay,2007,1533,69,7.855185909980431,22.217391304347824,7.821167958050069,2495.8037092028703,2026
DS Rathi,powerplay,157,120,3,7.85,40.0,7.66659756035085,4.81308686278706,2026
E Malinga,powerplay,164,96,4,10.25,24.0,8.443224163266384,7.769543805955482,2026
Fazalhaq Farooqi,powerplay,191,132,3,8.681818181818182,44.0,8.009107741622378,4.60725478922391,2025
GJ Maxwell,powerplay,365,258,12,8.488372093023257,21.5,8.08604466117112,73.01468452617858,2025
HH Pandya,powerplay,690,432,13,9.583333333333334,33.23076923076923,8.952118391563824,77.40067430888378,2026
HV Patel,powerplay,582,390,15,8.953846153846154,26.0,8.487142276086354,108.69383003031133,2026
Harpreet Brar,powerplay,233,144,2,9.708333333333334,72.0,8.468962334839285,1.9364828123670266,2026
Harsh Dubey,powerplay,92,54,1,10.222222222222221,54.0,8.132442696829388,0.5041535677341416,2026
Harshit Rana,powerplay,464,294,17,9.46938775510204,17.294117647058822,8.705476956054229,136.10971644419328,2025
I Sharma,powerplay,1842,1521,60,7.266272189349112,25.35,7.298938363351118,2022.2118978441856,2025
J Overton,powerplay,71,30,0,14.2,999.0,8.439903251157856,0.0,2026
JA Duffy,powerplay,83,48,5,10.375,9.6,8.111021528849868,12.63712587069589,2026
JC Archer,powerplay,735,666,33,6.621621621621622,20.181818181818183,6.832727330441949,653.4579508401376,2026
JD Unadkat,powerplay,1117,852,30,7.866197183098592,28.4,7.808002131337648,472.59208411202593,2026
JJ Bumrah,powerplay,1394,1252,46,6.680511182108626,27.217391304347824,6.798188135114388,1276.16356411031,2026
JO Holder,powerplay,501,354,12,8.491525423728813,29.5,8.158430294190378,72.36686209360936,2026
JR Hazlewood,powerplay,739,570,28,7.778947368421052,20.357142857142858,7.721540171909173,416.290005418081,2026
K Rabada,powerplay,1356,969,47,8.396284829721361,20.617021276595743,8.255135937723812,1097.123059913809,2026
KA Jamieson,powerplay,286,186,8,9.225806451612904,23.25,8.370021605014482,31.349978815203542,2026
KH Pandya,powerplay,716,552,18,7.782608695652174,30.666666666666668,7.722862425047547,172.00876137474654,2026
KK Ahmed,powerplay,1338,978,39,8.208588957055216,25.076923076923077,8.09972568756225,769.9149626234886,2026
KT Maphaka,powerplay,82,42,2,11.714285714285714,21.0,8.291047390339738,1.9780371800923915,2025
Kartik Tyagi,powerplay,313,186,7,10.096774193548388,26.571428571428573,8.795218455408184,22.84195679943191,2026
L Ngidi,powerplay,268,204,11,7.882352941176471,18.545454545454547,7.721749953660445,64.2470946323284,2026
LH Ferguson,powerplay,415,281,18,8.861209964412812,15.61111111111111,8.32558451998008,159.55636469872488,2026
M Jansen,powerplay,666,474,19,8.430379746835442,24.94736842105263,8.174855353528427,181.05519131432214,2026
M Prasidh Krishna,powerplay,817,618,19,7.932038834951456,32.526315789473685,7.841301637774315,188.7569268946161,2026
M Siddharth,powerplay,84,72,2,7.0,36.0,7.404412852099318,2.214895404616752,2026
M Theekshana,powerplay,444,312,10,8.538461538461538,31.2,8.159720377732777,50.246819868834855,2025
MA Starc,powerplay,882,623,29,8.49438202247191,21.482758620689655,8.270144537298922,416.933462825085,2026
MJ Henry,powerplay,207,114,2,10.894736842105264,57.0,8.786337318804264,1.866534302627011,2026
MJ Santner,powerplay,212,156,3,8.153846153846153,52.0,7.820450802024267,4.718398073733639,2026
MM Ali,powerplay,89,96,5,5.5625,19.2,6.896832410689065,14.861895127557432,2025
MM Sharma,powerplay,1146,858,38,8.013986013986013,22.57894736842105,7.92875425594541,746.6998987338475,2025
MP Stoinis,powerplay,239,159,9,9.018867924528303,17.666666666666668,8.21180291387152,40.44178890837856,2025
MP Yadav,powerplay,72,36,3,12.0,12.0,8.246659010868042,4.474539319665154,2025
MW Short,powerplay,50,30,0,10.0,999.0,7.879903251157857,0.0,2026
Mohammed Shami,powerplay,2014,1604,62,7.533665835411471,25.870967741935484,7.535841151478887,2091.392279003528,2026
