bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Chandila,powerplay,139,144,10,5.791666666666667,14.4,6.805245520679993,60.24764260952513,2013
A Choudhary,powerplay,45,36,3,7.5,12.0,7.545360309569341,4.890422522725903,2017
A Kamboj,powerplay,345,240,12,8.625,20.0,8.14477754370234,72.48816764265169,2026
A Kumble,powerplay,85,108,3,4.722222222222222,36.0,6.544482612245933,5.638337235544532,2010
A Mishra,powerplay,164,138,6,7.130434782608695,23.0,7.378313007539092,20.004572840591564,2021
A Mithun,powerplay,94,66,1,8.545454545454547,66.0,7.804514296975165,0.525336983697891,2013
A Nehra,powerplay,1338,1093,45,7.344922232387923,24.288888888888888,7.376535894029904,1125.5283129198233,2017
A Nortje,powerplay,608,444,22,8.216216216216216,20.181818181818183,8.01405044054854,247.61511232317287,2025
A Singh,powerplay,291,264,13,6.613636363636363,20.307692307692307,7.013024469521825,98.8018797041563,2012
A Symonds,powerplay,105,114,5,5.526315789473684,22.8,6.80575479453242,15.060783571330845,2010
A Zampa,powerplay,43,42,3,6.142857142857142,14.0,7.303705618187839,5.052229913006195,2023
AA Chavan,powerplay,159,144,3,6.625,48.0,7.159227821564949,5.154187144156834,2013
AA Jhunjhunwala,powerplay,45,30,0,9.0,999.0,7.746569917824524,0.0,2012
AB Agarkar,powerplay,280,180,6,9.333333333333334,30.0,8.407941950694713,17.554830999731678,2013
AB Dinda,powerplay,946,810,36,7.007407407407407,22.5,7.113411175632356,746.9833907819394,2017
AB McDonald,powerplay,63,42,3,9.0,14.0,7.810034732111889,4.724690896479787,2012
AC Thomas,powerplay,190,180,8,6.333333333333334,22.5,6.967941950694714,37.65817824785959,2012
AD Mascarenhas,powerplay,206,168,12,7.357142857142858,14.0,7.462749949064786,79.11292808008226,2013
AD Mathews,powerplay,182,126,6,8.666666666666666,21.0,7.990586390998497,18.471735712196715,2015
AD Russell,powerplay,547,407,23,8.063882063882064,17.695652173913043,7.898634936063983,274.59175130339645,2025
AF Milne,powerplay,149,96,3,9.3125,32.0,8.13394581275092,4.536543622180872,2022
AG Murtaza,powerplay,51,78,3,3.9230769230769234,26.0,6.516403778426805,5.662632527800238,2013
AJ Hosein,powerplay,71,54,2,7.888888888888889,27.0,7.626418600443847,2.150419595253471,2026
AJ Tye,powerplay,253,192,13,7.90625,14.76923076923077,7.728625921215808,89.65371167699087,2022
AK Markram,powerplay,57,42,1,8.142857142857142,42.0,7.658135997934674,0.5353783219710032,2025
AL Menaria,powerplay,52,48,1,6.5,48.0,7.345589430084436,0.5581580673714391,2012
AM Ghazanfar,powerplay,92,54,6,10.222222222222221,9.0,8.132442696829388,18.149528438429094,2026
AM Salvi,powerplay,78,66,1,7.090909090909092,66.0,7.436698205021141,0.5513199388986559,2011
AN Ahmed,powerplay,177,138,3,7.695652173913043,46.0,7.612547241773326,4.847260559187575,2015
